"county","date","actual_cases"
"新北市","2020-02-01",0
"桃園市","2020-02-01",0
"新竹縣","2020-02-01",0
"宜蘭縣","2020-02-01",0
"苗栗縣","2020-02-01",0
"彰化縣","2020-02-01",2
"南投縣","2020-02-01",2
"雲林縣","2020-02-01",0
"嘉義縣","2020-02-01",0
"屏東縣","2020-02-01",0
"澎湖縣","2020-02-01",0
"花蓮縣","2020-02-01",0
"台東縣","2020-02-01",0
"金門縣","2020-02-01",0
"連江縣","2020-02-01",0
"台北市","2020-02-02",2
"台中市","2020-02-02",2
"台南市","2020-02-02",0
"高雄市","2020-02-02",2
"基隆市","2020-02-02",0
"新竹市","2020-02-02",0
"嘉義市","2020-02-02",0
"新北市","2020-02-02",0
"桃園市","2020-02-02",0
"新竹縣","2020-02-02",0
"宜蘭縣","2020-02-02",0
"苗栗縣","2020-02-02",0
"彰化縣","2020-02-02",2
"南投縣","2020-02-02",2
"雲林縣","2020-02-02",0
"嘉義縣","2020-02-02",0
"屏東縣","2020-02-02",0
"澎湖縣","2020-02-02",0
"花蓮縣","2020-02-02",0
"台東縣","2020-02-02",0
"金門縣","2020-02-02",0
"連江縣","2020-02-02",0
"台北市","2020-02-03",2
"台中市","2020-02-03",2
"台南市","2020-02-03",0
"高雄市","2020-02-03",2
"基隆市","2020-02-03",0
"新竹市","2020-02-03",0
"嘉義市","2020-02-03",0
"新北市","2020-02-03",0
"桃園市","2020-02-03",0
"新竹縣","2020-02-03",0
"宜蘭縣","2020-02-03",0
"苗栗縣","2020-02-03",0
"彰化縣","2020-02-03",2
"南投縣","2020-02-03",2
"雲林縣","2020-02-03",0
"嘉義縣","2020-02-03",0
"屏東縣","2020-02-03",0
"澎湖縣","2020-02-03",0
"花蓮縣","2020-02-03",0
"台東縣","2020-02-03",0
"金門縣","2020-02-03",0
"連江縣","2020-02-03",0
"台北市","2020-02-04",2
"台中市","2020-02-04",2
"台南市","2020-02-04",0
"高雄市","2020-02-04",2
"基隆市","2020-02-04",0
"新竹市","2020-02-04",0
"嘉義市","2020-02-04",0
"新北市","2020-02-04",0
"桃園市","2020-02-04",0
"新竹縣","2020-02-04",0
"宜蘭縣","2020-02-04",0
"苗栗縣","2020-02-04",0
"彰化縣","2020-02-04",2
"南投縣","2020-02-04",2
"雲林縣","2020-02-04",0
"嘉義縣","2020-02-04",0
"屏東縣","2020-02-04",0
"澎湖縣","2020-02-04",0
"花蓮縣","2020-02-04",0
"台東縣","2020-02-04",0
"金門縣","2020-02-04",0
"連江縣","2020-02-04",0
"台北市","2020-02-05",2
"台中市","2020-02-05",2
"台南市","2020-02-05",0
"高雄市","2020-02-05",2
"基隆市","2020-02-05",0
"新竹市","2020-02-05",0
"嘉義市","2020-02-05",0
"新北市","2020-02-05",0
"桃園市","2020-02-05",0
"新竹縣","2020-02-05",0
"宜蘭縣","2020-02-05",0
"苗栗縣","2020-02-05",0
"彰化縣","2020-02-05",2
"南投縣","2020-02-05",2
"雲林縣","2020-02-05",0
"嘉義縣","2020-02-05",0
"屏東縣","2020-02-05",0
"澎湖縣","2020-02-05",0
"花蓮縣","2020-02-05",0
"台東縣","2020-02-05",0
"金門縣","2020-02-05",0
"連江縣","2020-02-05",0
"台北市","2020-02-06",2
"台中市","2020-02-06",2
"台南市","2020-02-06",0
"高雄市","2020-02-06",2
"基隆市","2020-02-06",0
"新竹市","2020-02-06",0
"嘉義市","2020-02-06",0
"新北市","2020-02-06",0
"桃園市","2020-02-06",0
"新竹縣","2020-02-06",0
"宜蘭縣","2020-02-06",0
"苗栗縣","2020-02-06",0
"彰化縣","2020-02-06",2
"南投縣","2020-02-06",2
"雲林縣","2020-02-06",0
"嘉義縣","2020-02-06",0
"屏東縣","2020-02-06",0
"澎湖縣","2020-02-06",0
"花蓮縣","2020-02-06",0
"台東縣","2020-02-06",0
"金門縣","2020-02-06",0
"連江縣","2020-02-06",0
"台北市","2020-02-07",2
"台中市","2020-02-07",2
"台南市","2020-02-07",0
"高雄市","2020-02-07",2
"基隆市","2020-02-07",0
"新竹市","2020-02-07",0
"嘉義市","2020-02-07",0
"新北市","2020-02-07",0
"桃園市","2020-02-07",0
"新竹縣","2020-02-07",0
"宜蘭縣","2020-02-07",0
"苗栗縣","2020-02-07",0
"彰化縣","2020-02-07",2
"南投縣","2020-02-07",2
"雲林縣","2020-02-07",0
"嘉義縣","2020-02-07",0
"屏東縣","2020-02-07",0
"澎湖縣","2020-02-07",0
"花蓮縣","2020-02-07",0
"台東縣","2020-02-07",0
"金門縣","2020-02-07",0
"連江縣","2020-02-07",0
"台北市","2020-02-08",6
"台中市","2020-02-08",2
"台南市","2020-02-08",1
"高雄市","2020-02-08",2
"基隆市","2020-02-08",0
"新竹市","2020-02-08",0
"嘉義市","2020-02-08",0
"新北市","2020-02-08",0
"桃園市","2020-02-08",1
"新竹縣","2020-02-08",0
"宜蘭縣","2020-02-08",1
"苗栗縣","2020-02-08",0
"彰化縣","2020-02-08",2
"南投縣","2020-02-08",2
"雲林縣","2020-02-08",0
