"county","actual_cases","date"
"台北市",107,"2020-04-07"
"台中市",37,"2020-04-07"
"台南市",14,"2020-04-07"
"高雄市",28,"2020-04-07"
"基隆市",6,"2020-04-07"
"新竹市",11,"2020-04-07"
"嘉義市",3,"2020-04-07"
"新北市",86,"2020-04-07"
"桃園市",40,"2020-04-07"
"新竹縣",6,"2020-04-07"
"宜蘭縣",2,"2020-04-07"
"苗栗縣",3,"2020-04-07"
"彰化縣",18,"2020-04-07"
"南投縣",2,"2020-04-07"
"雲林縣",4,"2020-04-07"
"嘉義縣",2,"2020-04-07"
"屏東縣",7,"2020-04-07"
"澎湖縣",0,"2020-04-07"
"花蓮縣",0,"2020-04-07"
"台東縣",0,"2020-04-07"
"金門縣",0,"2020-04-07"
"連江縣",0,"2020-04-07"
