"county","actual_cases","date"
"台北市",69,"2020-03-26"
"台中市",28,"2020-03-26"
"台南市",11,"2020-03-26"
"高雄市",15,"2020-03-26"
"基隆市",3,"2020-03-26"
"新竹市",6,"2020-03-26"
"嘉義市",3,"2020-03-26"
"新北市",61,"2020-03-26"
"桃園市",25,"2020-03-26"
"新竹縣",4,"2020-03-26"
"宜蘭縣",2,"2020-03-26"
"苗栗縣",3,"2020-03-26"
"彰化縣",12,"2020-03-26"
"南投縣",2,"2020-03-26"
"雲林縣",3,"2020-03-26"
"嘉義縣",0,"2020-03-26"
"屏東縣",5,"2020-03-26"
"澎湖縣",0,"2020-03-26"
"花蓮縣",0,"2020-03-26"
"台東縣",0,"2020-03-26"
"金門縣",0,"2020-03-26"
"連江縣",0,"2020-03-26"
