"county","date","actual_cases","predict_cases","predict_cases_1","predict_cases_2","predict_cases_3","predict_cases_4","predict_cases_5","predict_cases_6"
"雲林縣",2020-02-07,0,0,0,0,0,0,0,0
"嘉義縣",2020-02-07,0,0,0,0,0,0,0,0
"屏東縣",2020-02-07,0,0,0,0,0,0,0,0
"澎湖縣",2020-02-07,0,0,0,0,0,0,0,0
"花蓮縣",2020-02-07,0,0,0,0,0,0,0,0
"台東縣",2020-02-07,0,0,0,0,0,0,0,0
"金門縣",2020-02-07,0,0,0,0,0,0,0,0
"連江縣",2020-02-07,0,0,0,0,0,0,0,0
"台北市",2020-02-08,6,8.98,11.95,14.9,17.84,20.76,23.67,26.56
"台中市",2020-02-08,2,2,2,2,2,2,2,2
"台南市",2020-02-08,1,1.73,2.45,3.15,3.83,4.5,5.15,5.79
"高雄市",2020-02-08,2,2,2,2,2,2,2,2
"基隆市",2020-02-08,0,0,0,0,0,0,0,0
"新竹市",2020-02-08,0,0,0,0,0,0,0,0
"嘉義市",2020-02-08,0,0,0,0,0,0,0,0
"新北市",2020-02-08,0,0,0,0,0,0,0,0
"桃園市",2020-02-08,1,1.73,2.45,3.15,3.83,4.5,5.15,5.79
"新竹縣",2020-02-08,0,0,0,0,0,0,0,0
"宜蘭縣",2020-02-08,1,1.73,2.45,3.15,3.83,4.5,5.15,5.79
"苗栗縣",2020-02-08,0,0,0,0,0,0,0,0
"彰化縣",2020-02-08,2,2,2,2,2,2,2,2
"南投縣",2020-02-08,2,2,2,2,2,2,2,2
"雲林縣",2020-02-08,0,0,0,0,0,0,0,0
"嘉義縣",2020-02-08,0,0,0,0,0,0,0,0
"屏東縣",2020-02-08,0,0,0,0,0,0,0,0
"澎湖縣",2020-02-08,0,0,0,0,0,0,0,0
"花蓮縣",2020-02-08,0,0,0,0,0,0,0,0
"台東縣",2020-02-08,0,0,0,0,0,0,0,0
"金門縣",2020-02-08,0,0,0,0,0,0,0,0
"連江縣",2020-02-08,0,0,0,0,0,0,0,0
"台北市",2020-02-09,7,7.23,7.3,7.32,7.33,7.33,7.33,7.33
"台中市",2020-02-09,2,2,2,2,2,2,2,2
"台南市",2020-02-09,1,1,1,1,1,1,1,1
"高雄市",2020-02-09,2,2,2,2,2,2,2,2
"基隆市",2020-02-09,0,0,0,0,0,0,0,0
"新竹市",2020-02-09,0,0,0,0,0,0,0,0
"嘉義市",2020-02-09,0,0,0,0,0,0,0,0
"新北市",2020-02-09,0,0,0,0,0,0,0,0
"桃園市",2020-02-09,1,1,1,1,1,1,1,1
"新竹縣",2020-02-09,0,0,0,0,0,0,0,0
"宜蘭縣",2020-02-09,1,1,1,1,1,1,1,1
"苗栗縣",2020-02-09,0,0,0,0,0,0,0,0
"彰化縣",2020-02-09,2,2,2,2,2,2,2,2
"南投縣",2020-02-09,2,2,2,2,2,2,2,2
"雲林縣",2020-02-09,0,0,0,0,0,0,0,0
"嘉義縣",2020-02-09,0,0,0,0,0,0,0,0
"屏東縣",2020-02-09,0,0,0,0,0,0,0,0
"澎湖縣",2020-02-09,0,0,0,0,0,0,0,0
"花蓮縣",2020-02-09,0,0,0,0,0,0,0,0
"台東縣",2020-02-09,0,0,0,0,0,0,0,0
"金門縣",2020-02-09,0,0,0,0,0,0,0,0
"連江縣",2020-02-09,0,0,0,0,0,0,0,0
"台北市",2020-02-10,7,7,7,7,7,7,7,7
"台中市",2020-02-10,2,2,2,2,2,2,2,2
"台南市",2020-02-10,1,1,1,1,1,1,1,1
"高雄市",2020-02-10,2,2,2,2,2,2,2,2
"基隆市",2020-02-10,0,0,0,0,0,0,0,0
"新竹市",2020-02-10,0,0,0,0,0,0,0,0
"嘉義市",2020-02-10,0,0,0,0,0,0,0,0
"新北市",2020-02-10,0,0,0,0,0,0,0,0
"桃園市",2020-02-10,1,1,1,1,1,1,1,1
"新竹縣",2020-02-10,0,0,0,0,0,0,0,0
"宜蘭縣",2020-02-10,1,1,1,1,1,1,1,1
"苗栗縣",2020-02-10,0,0,0,0,0,0,0,0
"彰化縣",2020-02-10,2,2,2,2,2,2,2,2
"南投縣",2020-02-10,2,2,2,2,2,2,2,2
"雲林縣",2020-02-10,0,0,0,0,0,0,0,0
"嘉義縣",2020-02-10,0,0,0,0,0,0,0,0
"屏東縣",2020-02-10,0,0,0,0,0,0,0,0
"澎湖縣",2020-02-10,0,0,0,0,0,0,0,0
"花蓮縣",2020-02-10,0,0,0,0,0,0,0,0
"台東縣",2020-02-10,0,0,0,0,0,0,0,0
"金門縣",2020-02-10,0,0,0,0,0,0,0,0
"連江縣",2020-02-10,0,0,0,0,0,0,0,0
"台北市",2020-02-11,7,7,7,7,7,7,7,7
"台中市",2020-02-11,2,2,2,2,2,2,2,2
"台南市",2020-02-11,1,1,1,1,1,1,1,1
"高雄市",2020-02-11,2,2,2,2,2,2,2,2
"基隆市",2020-02-11,0,0,0,0,0,0,0,0
"新竹市",2020-02-11,0,0,0,0,0,0,0,0
"嘉義市",2020-02-11,0,0,0,0,0,0,0,0
"新北市",2020-02-11,0,0,0,0,0,0,0,0
"桃園市",2020-02-11,1,1,1,1,1,1,1,1
"新竹縣",2020-02-11,0,0,0,0,0,0,0,0
"宜蘭縣",2020-02-11,1,1,1,1,1,1,1,1
"苗栗縣",2020-02-11,0,0,0,0,0,0,0,0
"彰化縣",2020-02-11,2,2,2,2,2,2,2,2
"南投縣",2020-02-11,2,2,2,2,2,2,2,2
"雲林縣",2020-02-11,0,0,0,0,0,0,0,0
"嘉義縣",2020-02-11,0,0,0,0,0,0,0,0
"屏東縣",2020-02-11,0,0,0,0,0,0,0,0
"澎湖縣",2020-02-11,0,0,0,0,0,0,0,0
"花蓮縣",2020-02-11,0,0,0,0,0,0,0,0
"台東縣",2020-02-11,0,0,0,0,0,0,0,0
"金門縣",2020-02-11,0,0,0,0,0,0,0,0
"連江縣",2020-02-11,0,0,0,0,0,0,0,0
"台北市",2020-02-12,7,7,7,7,7,7,7,7
"台中市",2020-02-12,2,2,2,2,2,2,2,2
"台南市",2020-02-12,1,1,1,1,1,1,1,1
"高雄市",2020-02-12,2,2,2,2,2,2,2,2
"基隆市",2020-02-12,0,0,0,0,0,0,0,0
"新竹市",2020-02-12,0,0,0,0,0,0,0,0
"嘉義市",2020-02-12,0,0,0,0,0,0,0,0
"新北市",2020-02-12,0,0,0,0,0,0,0,0
"桃園市",2020-02-12,1,1,1,1,1,1,1,1
"新竹縣",2020-02-12,0,0,0,0,0,0,0,0
"宜蘭縣",2020-02-12,1,1,1,1,1,1,1,1
"苗栗縣",2020-02-12,0,0,0,0,0,0,0,0
"彰化縣",2020-02-12,2,2,2,2,2,2,2,2
"南投縣",2020-02-12,2,2,2,2,2,2,2,2
"雲林縣",2020-02-12,0,0,0,0,0,0,0,0
"嘉義縣",2020-02-12,0,0,0,0,0,0,0,0
"屏東縣",2020-02-12,0,0,0,0,0,0,0,0
"澎湖縣",2020-02-12,0,0,0,0,0,0,0,0
"花蓮縣",2020-02-12,0,0,0,0,0,0,0,0
"台東縣",2020-02-12,0,0,0,0,0,0,0,0
"金門縣",2020-02-12,0,0,0,0,0,0,0,0
"連江縣",2020-02-12,0,0,0,0,0,0,0,0
"台北市",2020-02-13,7,7,7,7,7,7,7,7
"台中市",2020-02-13,2,2,2,2,2,2,2,2
"台南市",2020-02-13,1,1,1,1,1,1,1,1
"高雄市",2020-02-13,2,2,2,2,2,2,2,2
"基隆市",2020-02-13,0,0,0,0,0,0,0,0
"新竹市",2020-02-13,0,0,0,0,0,0,0,0
"嘉義市",2020-02-13,0,0,0,0,0,0,0,0
"新北市",2020-02-13,0,0,0,0,0,0,0,0
"桃園市",2020-02-13,1,1,1,1,1,1,1,1
"新竹縣",2020-02-13,0,0,0,0,0,0,0,0
"宜蘭縣",2020-02-13,1,1,1,1,1,1,1,1
"苗栗縣",2020-02-13,0,0,0,0,0,0,0,0
"彰化縣",2020-02-13,2,2,2,2,2,2,2,2
"南投縣",2020-02-13,2,2,2,2,2,2,2,2
"雲林縣",2020-02-13,0,0,0,0,0,0,0,0
"嘉義縣",2020-02-13,0,0,0,0,0,0,0,0
"屏東縣",2020-02-13,0,0,0,0,0,0,0,0
"澎湖縣",2020-02-13,0,0,0,0,0,0,0,0
"花蓮縣",2020-02-13,0,0,0,0,0,0,0,0
"台東縣",2020-02-13,0,0,0,0,0,0,0,0
"金門縣",2020-02-13,0,0,0,0,0,0,0,0
"連江縣",2020-02-13,0,0,0,0,0,0,0,0
"台北市",2020-02-14,7,7,7,7,7,7,7,7
"台中市",2020-02-14,2,2,2,2,2,2,2,2
"台南市",2020-02-14,1,1,1,1,1,1,1,1
"高雄市",2020-02-14,2,2,2,2,2,2,2,2
"基隆市",2020-02-14,0,0,0,0,0,0,0,0
"新竹市",2020-02-14,0,0,0,0,0,0,0,0
"嘉義市",2020-02-14,0,0,0,0,0,0,0,0
"新北市",2020-02-14,0,0,0,0,0,0,0,0
"桃園市",2020-02-14,1,1,1,1,1,1,1,1
"新竹縣",2020-02-14,0,0,0,0,0,0,0,0
"宜蘭縣",2020-02-14,1,1,1,1,1,1,1,1
"苗栗縣",2020-02-14,0,0,0,0,0,0,0,0
"彰化縣",2020-02-14,2,2,2,2,2,2,2,2
"南投縣",2020-02-14,2,2,2,2,2,2,2,2
"雲林縣",2020-02-14,0,0,0,0,0,0,0,0
"嘉義縣",2020-02-14,0,0,0,0,0,0,0,0
"屏東縣",2020-02-14,0,0,0,0,0,0,0,0
"澎湖縣",2020-02-14,0,0,0,0,0,0,0,0
"花蓮縣",2020-02-14,0,0,0,0,0,0,0,0
"台東縣",2020-02-14,0,0,0,0,0,0,0,0
"金門縣",2020-02-14,0,0,0,0,0,0,0,0
"連江縣",2020-02-14,0,0,0,0,0,0,0,0
"台北市",2020-02-15,7,7,7,7,7,7,7,7
"台中市",2020-02-15,2,2,2,2,2,2,2,2
"台南市",2020-02-15,1,1,1,1,1,1,1,1
"高雄市",2020-02-15,2,2,2,2,2,2,2,2
"基隆市",2020-02-15,0,0,0,0,0,0,0,0
